key,asset,hypothesis,start_idx,end_idx,depth,cum_pnl,entry_time,exit_time
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1529,1534,6,-4354.04,2025-10-15 12:00:00+00:00,2025-10-17 09:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1539,1540,2,-1208.0,2025-10-20 03:00:00+00:00,2025-10-20 05:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1556,1557,2,-877.41,2025-10-24 22:00:00+00:00,2025-10-25 08:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1559,1565,7,-2413.49,2025-10-25 17:00:00+00:00,2025-10-27 02:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1570,1575,6,-3963.79,2025-10-28 21:00:00+00:00,2025-10-30 00:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1577,1579,3,-2781.69,2025-10-30 10:00:00+00:00,2025-10-30 16:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1587,1590,4,-2227.17,2025-11-03 03:00:00+00:00,2025-11-03 12:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1592,1598,7,-6440.28,2025-11-03 18:00:00+00:00,2025-11-04 21:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1600,1604,5,-3550.11,2025-11-06 13:00:00+00:00,2025-11-07 12:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1607,1611,5,-2858.33,2025-11-09 14:00:00+00:00,2025-11-10 02:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1613,1616,4,-2419.91,2025-11-10 17:00:00+00:00,2025-11-11 02:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1621,1622,2,-1356.25,2025-11-12 16:00:00+00:00,2025-11-12 18:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1624,1625,2,-1696.17,2025-11-13 16:00:00+00:00,2025-11-13 18:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1627,1630,4,-3986.3,2025-11-14 00:00:00+00:00,2025-11-14 12:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1632,1634,3,-2590.87,2025-11-14 16:00:00+00:00,2025-11-16 18:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1636,1640,5,-4075.36,2025-11-17 14:00:00+00:00,2025-11-18 03:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1643,1646,4,-3013.91,2025-11-19 05:00:00+00:00,2025-11-19 18:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1648,1653,6,-5497.12,2025-11-20 16:00:00+00:00,2025-11-21 10:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1655,1659,5,-2566.09,2025-11-23 04:00:00+00:00,2025-11-23 20:00:00+00:00
